Temperature,Humidity
Temperature: 24.90 °C, Humidity: 43.70 %
24.90,43.70
Temperature: 24.90 °C, Humidity: 43.20 %
24.90,43.20
Temperature: 24.90 °C, Humidity: 43.20 %
24.90,43.20
Temperature: 24.90 °C, Humidity: 43.20 %
24.90,43.20
Temperature: 24.90 °C, Humidity: 43.20 %
24.90,43.20
Temperature: 24.90 °C, Humidity: 43.50 %
24.90,43.50
Temperature: 24.90 °C, Humidity: 43.50 %
24.90,43.50
Temperature: 24.90 °C, Humidity: 43.10 %
24.90,43.10
Temperature: 24.90 °C, Humidity: 43.10 %
24.90,43.10
Temperature: 24.90 °C, Humidity: 46.00 %
24.90,46.00
Temperature: 24.90 °C, Humidity: 46.00 %
24.90,46.00
Temperature: 25.20 °C, Humidity: 53.10 %
25.20,53.10
Temperature: 25.20 °C, Humidity: 53.10 %
25.20,53.10
Temperature: 31.90 °C, Humidity: 75.40 %
31.90,75.40
Temperature: 31.90 °C, Humidity: 75.40 %
31.90,75.40
Temperature: 33.20 °C, Humidity: 85.40 %
33.20,85.40
Temperature: 33.20 °C, Humidity: 85.40 %
33.20,85.40
Temperature: 33.00 °C, Humidity: 91.10 %
33.00,91.10
Temperature: 33.00 °C, Humidity: 91.10 %
33.00,91.10
Temperature: 32.70 °C, Humidity: 94.30 %
32.70,94.30
Temperature: 32.70 °C, Humidity: 94.30 %
32.70,94.30
Temperature: 32.80 °C, Humidity: 96.00 %
32.80,96.00
Temperature: 32.80 °C, Humidity: 96.00 %
32.80,96.00
Temperature: 32.50 °C, Humidity: 96.80 %
32.50,96.80
Temperature: 32.50 °C, Humidity: 96.80 %
32.50,96.80
Temperature: 32.20 °C, Humidity: 96.70 %
32.20,96.70
Temperature: 32.20 °C, Humidity: 96.70 %
32.20,96.70
Temperature: 31.80 °C, Humidity: 95.90 %
31.80,95.90
Temperature: 31.80 °C, Humidity: 95.90 %
31.80,95.90
Temperature: 31.40 °C, Humidity: 94.50 %
31.40,94.50
Temperature: 31.40 °C, Humidity: 94.50 %
31.40,94.50
Temperature: 31.00 °C, Humidity: 92.60 %
31.00,92.60
Temperature: 31.00 °C, Humidity: 92.60 %
31.00,92.60
Temperature: 30.60 °C, Humidity: 90.80 %
30.60,90.80
Temperature: 30.60 °C, Humidity: 90.80 %
30.60,90.80
Temperature: 30.20 °C, Humidity: 89.90 %
30.20,89.90
Temperature: 30.20 °C, Humidity: 89.90 %
30.20,89.90
Temperature: 29.90 °C, Humidity: 89.50 %
29.90,89.50
Temperature: 29.90 °C, Humidity: 89.50 %
29.90,89.50
Temperature: 29.70 °C, Humidity: 89.10 %
29.70,89.10
Temperature: 29.70 °C, Humidity: 89.10 %
29.70,89.10
Temperature: 29.50 °C, Humidity: 89.00 %
29.50,89.00
Temperature: 29.50 °C, Humidity: 89.00 %
29.50,89.00
Temperature: 29.30 °C, Humidity: 88.70 %
29.30,88.70
Temperature: 29.30 °C, Humidity: 88.70 %
29.30,88.70
Temperature: 29.10 °C, Humidity: 88.70 %
29.10,88.70
Temperature: 29.10 °C, Humidity: 88.70 %
29.10,88.70
Temperature: 28.80 °C, Humidity: 88.20 %
28.80,88.20
Temperature: 28.80 °C, Humidity: 88.20 %
28.80,88.20
Temperature: 28.70 °C, Humidity: 87.90 %
28.70,87.90
Temperature: 28.70 °C, Humidity: 87.90 %
28.70,87.90
Temperature: 28.60 °C, Humidity: 87.90 %
28.60,87.90
Temperature: 28.60 °C, Humidity: 87.90 %
28.60,87.90
Temperature: 28.40 °C, Humidity: 87.90 %
28.40,87.90
Temperature: 28.40 °C, Humidity: 87.90 %
28.40,87.90
Temperature: 28.20 °C, Humidity: 87.70 %
28.20,87.70
Temperature: 28.20 °C, Humidity: 87.70 %
28.20,87.70
Temperature: 28.10 °C, Humidity: 87.10 %
28.10,87.10
Temperature: 28.10 °C, Humidity: 87.10 %
28.10,87.10
Temperature: 27.90 °C, Humidity: 87.00 %
27.90,87.00
Temperature: 27.90 °C, Humidity: 87.00 %
27.90,87.00
Temperature: 27.80 °C, Humidity: 86.40 %
27.80,86.40
Temperature: 27.80 °C, Humidity: 86.40 %
27.80,86.40
Temperature: 27.60 °C, Humidity: 85.80 %
27.60,85.80
Temperature: 27.60 °C, Humidity: 85.80 %
27.60,85.80
Temperature: 27.50 °C, Humidity: 85.80 %
27.50,85.80
Temperature: 27.50 °C, Humidity: 85.80 %
27.50,85.80
Temperature: 27.30 °C, Humidity: 85.40 %
27.30,85.40
Temperature: 27.30 °C, Humidity: 85.40 %
27.30,85.40
Temperature: 27.20 °C, Humidity: 85.00 %
27.20,85.00
Temperature: 27.20 °C, Humidity: 85.00 %
27.20,85.00
Temperature: 27.10 °C, Humidity: 84.30 %
27.10,84.30
Temperature: 27.10 °C, Humidity: 84.30 %
27.10,84.30
Temperature: 26.90 °C, Humidity: 83.70 %
26.90,83.70
Temperature: 26.90 °C, Humidity: 83.70 %
26.90,83.70
Temperature: 26.80 °C, Humidity: 82.90 %
26.80,82.90
Temperature: 26.80 °C, Humidity: 82.90 %
26.80,82.90
Temperature: 26.80 °C, Humidity: 82.40 %
26.80,82.40
Temperature: 26.80 °C, Humidity: 82.40 %
26.80,82.40
Temperature: 26.70 °C, Humidity: 81.30 %
26.70,81.30
Temperature: 26.70 °C, Humidity: 81.30 %
26.70,81.30
Temperature: 26.60 °C, Humidity: 81.00 %
26.60,81.00
Temperature: 26.60 °C, Humidity: 81.00 %
26.60,81.00
Temperature: 26.50 °C, Humidity: 80.40 %
26.50,80.40
Temperature: 26.50 °C, Humidity: 80.40 %
26.50,80.40
Temperature: 26.50 °C, Humidity: 80.40 %
26.50,80.40
Temperature: 26.50 °C, Humidity: 80.40 %
26.50,80.40
Temperature: 26.40 °C, Humidity: 80.10 %
26.40,80.10
Temperature: 26.40 °C, Humidity: 80.10 %
26.40,80.10
Temperature: 26.40 °C, Humidity: 79.60 %
26.40,79.60
Temperature: 26.40 °C, Humidity: 79.60 %
26.40,79.60
Temperature: 26.40 °C, Humidity: 79.20 %
26.40,79.20
