time,value
2024-10-03T06:54:48.578135481Z,{"lat":22.622447,"lon":88.3999175}
2024-10-03T06:54:49.575810145Z,{"lat":22.622447,"lon":88.3999175}
2024-10-03T06:54:50.606356838Z,{"lat":22.622447,"lon":88.3999175}
2024-10-03T06:54:51.575136053Z,{"lat":22.622447,"lon":88.3999175}
2024-10-03T06:54:52.597384535Z,{"lat":22.622447,"lon":88.3999175}
2024-10-03T06:54:53.582195681Z,{"lat":22.622447,"lon":88.3999175}
2024-10-03T06:54:54.597299555Z,{"lat":22.622447,"lon":88.3999175}
2024-10-03T06:54:56.183288572Z,{"lat":22.622447,"lon":88.3999175}
2024-10-03T06:54:57.15547606Z,{"lat":22.622447,"lon":88.3999175}
2024-10-03T06:54:58.150415156Z,{"lat":22.622447,"lon":88.3999175}
2024-10-03T06:54:59.169088755Z,{"lat":22.622447,"lon":88.3999175}
2024-10-03T06:55:00.17696044Z,{"lat":22.622447,"lon":88.3999175}
2024-10-03T06:55:01.205784015Z,{"lat":22.622447,"lon":88.3999175}
2024-10-03T06:55:02.172680893Z,{"lat":22.622447,"lon":88.3999175}
2024-10-03T06:55:03.192776702Z,{"lat":22.622447,"lon":88.3999175}
2024-10-03T06:55:04.175983698Z,{"lat":22.622447,"lon":88.3999175}
2024-10-03T06:55:05.181136174Z,{"lat":22.622447,"lon":88.3999175}
2024-10-03T06:55:06.17835608Z,{"lat":22.622447,"lon":88.3999175}
2024-10-03T06:55:07.198190983Z,{"lat":22.622447,"lon":88.3999175}
2024-10-03T06:55:08.224454149Z,{"lat":22.622447,"lon":88.3999175}
2024-10-03T06:55:09.262620905Z,{"lat":22.622447,"lon":88.3999175}
2024-10-03T06:55:10.213440771Z,{"lat":22.622447,"lon":88.3999175}
2024-10-03T06:55:11.184415466Z,{"lat":22.622447,"lon":88.3999175}
2024-10-03T06:55:12.22366523Z,{"lat":22.622447,"lon":88.3999175}
2024-10-03T07:12:33.235807456Z,{"lat":22.622447,"lon":88.3999175}
2024-10-03T07:12:34.237455542Z,{"lat":22.622447,"lon":88.3999175}
2024-10-03T07:12:35.261393561Z,{"lat":22.622447,"lon":88.3999175}
2024-10-03T07:12:36.238602069Z,{"lat":22.622447,"lon":88.3999175}
2024-10-03T07:12:37.236599412Z,{"lat":22.622447,"lon":88.3999175}
2024-10-03T07:12:38.247382822Z,{"lat":22.622447,"lon":88.3999175}
2024-10-03T07:12:39.260533561Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:12:40.381598002Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:12:41.254070206Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:12:42.24841204Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:12:43.254538514Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:12:44.271779028Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:12:45.251299023Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:12:46.269120727Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:12:47.25927219Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:12:48.2663944Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:12:49.263698233Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:12:50.310362149Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:12:51.284837205Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:12:52.30838529Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:12:53.284020251Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:12:54.304286861Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:12:55.344802627Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:12:56.302907693Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:12:57.335345864Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:12:58.300622564Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:12:59.310306617Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:13:00.296773825Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:13:01.309389317Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:13:02.295114955Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:13:03.293280666Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:13:04.302847493Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:13:05.30290843Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:13:06.337703125Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:13:07.311256847Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:13:08.302369374Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:13:09.35785025Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:13:10.30584303Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:13:11.303982098Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:13:12.307519963Z,{"lat":22.622451,"lon":88.3999267}
2024-10-03T07:13:13.310927308Z,{"lat":22.622451,"lon":88.3999267}
